service_id,date,exception_type
103,20200831,1
103,20200901,1
103,20200902,1
103,20200903,1
103,20200904,1
6302,20200906,1
6902,20200907,1
2,20200907,1
3,20200907,2
203,20200908,1
203,20200909,1
203,20200910,1
203,20200911,1
6302,20200913,1
203,20200914,1
203,20200915,1
203,20200916,1
203,20200917,1
203,20200918,1
6302,20200920,1
203,20200921,1
203,20200922,1
203,20200923,1
203,20200924,1
103,20200925,1
6302,20200927,1
203,20200928,1
203,20200929,1
203,20200930,1
203,20201001,1
203,20201002,1
6302,20201004,1
203,20201005,1
203,20201006,1
203,20201007,1
203,20201008,1
203,20201009,1
6302,20201011,1
6902,20201012,1
2,20201012,1
3,20201012,2
203,20201013,1
203,20201014,1
203,20201015,1
203,20201016,1
6302,20201018,1
203,20201019,1
203,20201020,1
203,20201021,1
203,20201022,1
203,20201023,1
6302,20201025,1
203,20201026,1
203,20201027,1
203,20201028,1
203,20201029,1
203,20201030,1
6302,20201101,1
203,20201102,1
203,20201103,1
203,20201104,1
203,20201105,1
203,20201106,1
6302,20201108,1
203,20201109,1
203,20201110,1
6902,20201111,1
2,20201111,1
3,20201111,2
203,20201112,1
203,20201113,1
6302,20201115,1
203,20201116,1
203,20201117,1
203,20201118,1
203,20201119,1
203,20201120,1
6302,20201122,1
